Sub-theme name,Approved By,Date approved,Decision Notes,Descriptor,Development status,Framework database,Indicators,Practice domain,Status,Temp Filter,Theme database,ToC Stage
Pathway Knowledge and Information Access,,,,"Covers whether young people have accurate, sufficient, and accessible knowledge of the education and livelihood pathways available to them, including entry requirements, costs, timelines, application processes, and sources of support. The information precondition for informed pathway navigation. Distinct from decision-making self-efficacy, which concerns the agentic dimension, and from institutional navigation, which concerns access rather than knowledge.",Proposed. Pending Go-No Go,,"Can you name at least two different paths you could take after finishing your current level of school or training, for example further study, a specific type of work, or a training programme? (https://www.notion.so/Can-you-name-at-least-two-different-paths-you-could-take-after-finishing-your-current-level-of-schoo-34060bfb014e81a89a98dc563d993aec?pvs=21), What are those options? Please describe each one briefly. (https://www.notion.so/What-are-those-options-Please-describe-each-one-briefly-34060bfb014e81abb179e2f55c9c829a?pvs=21), For each pathway you named, is it something you could realistically access from where you live, that you or your family could afford, and that you would qualify for or be able to qualify for? (https://www.notion.so/For-each-pathway-you-named-is-it-something-you-could-realistically-access-from-where-you-live-that-34060bfb014e81b58382f0e9f733123e?pvs=21), Do you know what specific steps you or your child would need to take to move to the next level of education or training after finishing the current level, for example what to apply for, when, and how? (https://www.notion.so/Do-you-know-what-specific-steps-you-or-your-child-would-need-to-take-to-move-to-the-next-level-of-ed-34060bfb014e8178b259ff80e192ec0f?pvs=21), Can you describe those steps? For example, what would you apply for, where, when, and what would you need? (https://www.notion.so/Can-you-describe-those-steps-For-example-what-would-you-apply-for-where-when-and-what-would-you-34060bfb014e8145a281d18eb027575e?pvs=21)",,Not Published,Youth Impact,Pathway Awareness & Navigation (https://www.notion.so/Pathway-Awareness-Navigation-31360bfb014e8078b3a4eb50d52b1748?pvs=21),2: Outcome
Positive Psychological Functioning,,,,"Covers the positive psychological resources that enable young people to engage actively and constructively with learning and life, including hope, sense of purpose, motivation, positive self-concept, and optimism. Distinct from emotional safety and stability, which concerns freedom from threat, and from resilience and coping, which concerns managing adversity. Captures the presence of constructive psychological assets rather than the absence of distress, representing the positive pole of the psychosocial wellbeing spectrum.",Proposed. Pending Go-No Go,,"How much do you agree with this statement: I believe that good things are possible for my future. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-believe-that-good-things-are-possible-for-my-future-34060bfb014e81f4a981ce8d8b380273?pvs=21), How much do you agree with this statement: I believe that the choices I make today can make my future better. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-believe-that-the-choices-I-make-today-can-make-my-futur-34060bfb014e8159b7b9e4b300d76ef5?pvs=21), How much do you agree with this statement: What I am learning in this programme feels meaningful and relevant to my life. (https://www.notion.so/How-much-do-you-agree-with-this-statement-What-I-am-learning-in-this-programme-feels-meaningful-and-34060bfb014e81588da6d0fcda95ce0d?pvs=21), How much do you agree with this statement: I feel personally connected to what I am doing in this programme. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-feel-personally-connected-to-what-I-am-doing-in-this-pr-34060bfb014e8134b8d0fa016a07d98e?pvs=21), How much do you agree with this statement: Being part of this programme gives me a sense that I am contributing something worthwhile. (https://www.notion.so/How-much-do-you-agree-with-this-statement-Being-part-of-this-programme-gives-me-a-sense-that-I-am-c-34060bfb014e816897b0d6cf17208c85?pvs=21), How much do you agree with this statement: I believe I can complete the learning tasks in this programme if I put in the effort. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-believe-I-can-complete-the-learning-tasks-in-this-progr-34060bfb014e81f58129f016911e397e?pvs=21), How much do you agree with this statement: When I find something too difficult to do alone, I know I can ask for help and it will make a difference. (https://www.notion.so/How-much-do-you-agree-with-this-statement-When-I-find-something-too-difficult-to-do-alone-I-know-I-34060bfb014e8188b82ecd45158ab3af?pvs=21), How much do you agree with this statement: When I work hard at something in this programme, I can usually see the results of my effort. (https://www.notion.so/How-much-do-you-agree-with-this-statement-When-I-work-hard-at-something-in-this-programme-I-can-us-34060bfb014e81debbadffa10f054279?pvs=21)",,Not Published,Youth Impact,Psychosocial  Wellbeing (https://www.notion.so/Psychosocial-Wellbeing-31360bfb014e808f9b72d26ed05a3420?pvs=21),2: Outcome
Social Connectedness and Peer Relationships,,,,"Covers whether young people have positive, supportive, and trusting peer relationships within the programme environment, including friendships, peer support networks, and social belonging to the peer group. Distinct from broader institutional belonging under Equity and Inclusion and from interpersonal safety under Inclusive Learning Environments. Captures the relational dimension of psychosocial wellbeing, whether young people feel they have trusted peers in the programme context.",Proposed. Pending Go-No Go,,"How much do you agree with this statement: I feel accepted by the other learners in this programme. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-feel-accepted-by-the-other-learners-in-this-programme-34060bfb014e8159a722e41a6ee502cf?pvs=21), How much do you agree with this statement: I feel like I fit in with the group of learners in this programme. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-feel-like-I-fit-in-with-the-group-of-learners-in-this-p-34060bfb014e81479fdcc63702ce1748?pvs=21), How much do you agree with this statement: I wish I were more included by the other learners in this programme. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-wish-I-were-more-included-by-the-other-learners-in-this-34060bfb014e813aae2ecc2e33732a0a?pvs=21), Is there at least one person among the other learners in this programme that you trust and feel you could talk to if something was bothering you? (https://www.notion.so/Is-there-at-least-one-person-among-the-other-learners-in-this-programme-that-you-trust-and-feel-you--34060bfb014e81f8933ffe9ab4ef7552?pvs=21), How much do you agree with this statement: The other learners in this programme encourage me to keep trying and put in effort. (https://www.notion.so/How-much-do-you-agree-with-this-statement-The-other-learners-in-this-programme-encourage-me-to-keep-34060bfb014e81c4b3fcc5d194dc6a97?pvs=21), How much do you agree with this statement: The other learners in this programme take it seriously and that makes me want to take it seriously too. (https://www.notion.so/How-much-do-you-agree-with-this-statement-The-other-learners-in-this-programme-take-it-seriously-an-34060bfb014e816d8d89e09701a3f243?pvs=21)",,Not Published,Youth Impact,Psychosocial  Wellbeing (https://www.notion.so/Psychosocial-Wellbeing-31360bfb014e808f9b72d26ed05a3420?pvs=21),2: Outcome
Policy Influence and Advocacy,,,,"Covers whether the programme is actively seeking to influence policy, regulation, or government practice through evidence submission, policy consultation participation, stakeholder engagement with government as the primary audience, and documented instances of government decision-making informed by programme evidence. The directional and strategic dimension of public sector engagement. Distinct from government relationship building, which is relational, and from adoption into public systems, which is the institutional outcome.",Proposed. Pending Go-No Go,,"In the past year, did your organisation formally submit programme-generated evidence, findings, or recommendations to a government policy or planning process, for example a sector review, a budget consultation, or a national planning process? (https://www.notion.so/In-the-past-year-did-your-organisation-formally-submit-programme-generated-evidence-findings-or-r-34060bfb014e81559f07e4f4b6071471?pvs=21), Which process, what was submitted, and did you receive any acknowledgement or response? (https://www.notion.so/Which-process-what-was-submitted-and-did-you-receive-any-acknowledgement-or-response-34060bfb014e8181b018ca795f60a7e5?pvs=21), In the past year, did your organisation share a written evidence product, for example a brief, report, or summary of findings, with a government decision-maker you were specifically trying to influence? (https://www.notion.so/In-the-past-year-did-your-organisation-share-a-written-evidence-product-for-example-a-brief-repor-34060bfb014e81f1bc11ce1a2e7f4ea1?pvs=21), Who received it, what was shared, and do you know whether they read or recalled any of the findings? (https://www.notion.so/Who-received-it-what-was-shared-and-do-you-know-whether-they-read-or-recalled-any-of-the-findings-34060bfb014e81f7a326e426f9eb8cca?pvs=21), In the past year, did your organisation carry out any advocacy activity directed at government that was based on perspectives or experiences collected from community members, with their knowledge and consent? (https://www.notion.so/In-the-past-year-did-your-organisation-carry-out-any-advocacy-activity-directed-at-government-that--34060bfb014e819a9566ff82e3a90a77?pvs=21), What was the advocacy activity, how were community perspectives collected, and how were they used in what you presented to government? (https://www.notion.so/What-was-the-advocacy-activity-how-were-community-perspectives-collected-and-how-were-they-used-in-34060bfb014e81e88ac4d2757ebafbf6?pvs=21)",,Not Published,Youth Impact,Public Sector Engagement (https://www.notion.so/Public-Sector-Engagement-31360bfb014e8063ac84ee5a5f1b286e?pvs=21),2: Outcome
Government Relationship Building and Engagement,,,,"Covers whether the programme is actively cultivating working relationships with relevant government departments, agencies, and officials, including participation in government forums, joint planning, formal engagement mechanisms, and MOUs. The relationship and process dimension of public sector engagement. Distinct from adoption into public systems, which is the institutional outcome, and from policy influence and advocacy, which concerns changing government practice through evidence.",Proposed. Pending Go-No Go,,"In the past year, did your organisation have a formal, documented engagement mechanism with a relevant government body, for example a memorandum of understanding, a joint committee, or a regular structured meeting series? (https://www.notion.so/In-the-past-year-did-your-organisation-have-a-formal-documented-engagement-mechanism-with-a-releva-34060bfb014e811fb6dcc03531e48c63?pvs=21), Which government body, what was the mechanism, and did you meet or interact through it in the past year? (https://www.notion.so/Which-government-body-what-was-the-mechanism-and-did-you-meet-or-interact-through-it-in-the-past-y-34060bfb014e811097dcf37616e2a1f3?pvs=21), In the past year, did your organisation actively participate in any government-convened forums or technical working groups relevant to your programme's work, for example education sector working groups, social protection forums, or district planning committees? (https://www.notion.so/In-the-past-year-did-your-organisation-actively-participate-in-any-government-convened-forums-or-te-34060bfb014e811d8b39f73400860ba3?pvs=21), Which forums or working groups, at what level of government, and what did your organisation contribute or do in those spaces? (https://www.notion.so/Which-forums-or-working-groups-at-what-level-of-government-and-what-did-your-organisation-contribu-34060bfb014e818b8fa4c63fa737e199?pvs=21), How much do you agree with this statement: The working relationship between my office and this programme is productive and leads to useful outcomes. (https://www.notion.so/How-much-do-you-agree-with-this-statement-The-working-relationship-between-my-office-and-this-progr-34060bfb014e81939af3da313b813748?pvs=21), How much do you agree with this statement: I trust the programme to act in good faith and to represent our government's interests accurately. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-trust-the-programme-to-act-in-good-faith-and-to-represe-34060bfb014e81a6984fd8f13ad5db10?pvs=21), How much do you agree with this statement: The engagement between my office and this programme benefits both sides, not just the programme. (https://www.notion.so/How-much-do-you-agree-with-this-statement-The-engagement-between-my-office-and-this-programme-benef-34060bfb014e817f936df840d3e79c6d?pvs=21), In the past year, did your organisation take part in a joint planning or co-design activity with a relevant government body, where both sides contributed to producing a shared plan, framework, or document? (https://www.notion.so/In-the-past-year-did-your-organisation-take-part-in-a-joint-planning-or-co-design-activity-with-a-r-34060bfb014e81569231e93e05026ab0?pvs=21), Which government body, what was the activity, and what was the documented output? (https://www.notion.so/Which-government-body-what-was-the-activity-and-what-was-the-documented-output-34060bfb014e81d4abadcf6c834f6a84?pvs=21)",,Not Published,Youth Impact,Public Sector Engagement (https://www.notion.so/Public-Sector-Engagement-31360bfb014e8063ac84ee5a5f1b286e?pvs=21),1: Output
Cognitive and Language Readiness,,,,"Covers whether learners have the foundational cognitive and language skills required to engage with learning at their current level, including language of instruction proficiency, working memory and attention, and pre-literacy and pre-numeracy readiness. Distinct from foundational learning experiences, which concerns current attainment, and from disability access and support, which concerns accommodation. Captures the cognitive prerequisites that determine whether a learner can access and process learning at their current level.",Proposed. Pending Go-No Go,,"How much do you agree with this statement: On most days when I arrive at my learning sessions, I feel mentally ready to concentrate and take in what is being taught. (https://www.notion.so/How-much-do-you-agree-with-this-statement-On-most-days-when-I-arrive-at-my-learning-sessions-I-fee-34060bfb014e818ba487ed2b8f8f0208?pvs=21), How much do you agree with this statement: When I sit down to learn, I am usually able to put aside worries or distractions from home and focus on the session. (https://www.notion.so/How-much-do-you-agree-with-this-statement-When-I-sit-down-to-learn-I-am-usually-able-to-put-aside--34060bfb014e81bab0b9d80df16d9cc8?pvs=21), How much do you agree with this statement: On most days I am able to stay focused and follow along for most of my learning session. (https://www.notion.so/How-much-do-you-agree-with-this-statement-On-most-days-I-am-able-to-stay-focused-and-follow-along-f-34060bfb014e811a8b7bd3122e21c973?pvs=21)",,Not Published,Youth Impact,Readiness to Learn (https://www.notion.so/Readiness-to-Learn-31360bfb014e80e4a75aea741fce5a52?pvs=21),2: Outcome
Attendance and Punctuality Readiness,,,,"Covers whether learners consistently arrive at learning sessions on time, adequately prepared, and in a state of readiness to engage. The session-level behavioural readiness dimension distinct from attendance and enrolment continuity, which captures structural participation across the year. Captures punctuality, session preparedness, and alertness at session start as conditions that determine whether enrolled and present learners can benefit from each individual learning opportunity.",Proposed. Pending Go-No Go,,"In the current school term, how often do you arrive at your learning sessions on time and ready to start at the scheduled time? (https://www.notion.so/In-the-current-school-term-how-often-do-you-arrive-at-your-learning-sessions-on-time-and-ready-to-s-34060bfb014e81e48529d94250eef495?pvs=21), What makes it difficult to arrive on time or ready to start? (https://www.notion.so/What-makes-it-difficult-to-arrive-on-time-or-ready-to-start-34060bfb014e8139b87bdf22a9957994?pvs=21), In the current school term, how often do you arrive at your learning sessions with all the materials you need, for example books, pencils, or a notebook? (https://www.notion.so/In-the-current-school-term-how-often-do-you-arrive-at-your-learning-sessions-with-all-the-materials-34060bfb014e816c93a5f98ed4535a33?pvs=21), What materials are you sometimes missing, and why? (https://www.notion.so/What-materials-are-you-sometimes-missing-and-why-34060bfb014e81a2ae3ed6b4855d6f33?pvs=21), How much do you agree with this statement: On most days before my child leaves for school or this programme, we make sure they have had something to eat. (https://www.notion.so/How-much-do-you-agree-with-this-statement-On-most-days-before-my-child-leaves-for-school-or-this-pr-34060bfb014e81d5a39bf62f6e3e00c2?pvs=21), How much do you agree with this statement: On most days I make sure my child leaves in time to arrive at school or this programme on time. (https://www.notion.so/How-much-do-you-agree-with-this-statement-On-most-days-I-make-sure-my-child-leaves-in-time-to-arriv-34060bfb014e81eabff4dedc305ee82c?pvs=21), How much do you agree with this statement: On most days I make sure my child has all the materials they need before they leave for school or this programme. (https://www.notion.so/How-much-do-you-agree-with-this-statement-On-most-days-I-make-sure-my-child-has-all-the-materials-t-34060bfb014e81628febd58d1db24148?pvs=21)",,Not Published,Youth Impact,Readiness to Learn (https://www.notion.so/Readiness-to-Learn-31360bfb014e80e4a75aea741fce5a52?pvs=21),2: Outcome
"Teacher Motivation, Retention and Wellbeing",,,,"Covers whether teachers and facilitators have adequate motivation, working conditions, and wellbeing to sustain high-quality instructional practice over time. The human sustainability construct for the teaching workforce. Distinct from instructional leadership, which is the institutional enabling condition, and from professional learning cultures, which is collaborative learning. Captures the individual and relational conditions that determine whether teachers can and will sustain high-quality practice.",Proposed. Pending Go-No Go,,"How much do you agree with this statement: I believe that my teaching makes a real difference to how much my learners learn and progress. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-believe-that-my-teaching-makes-a-real-difference-to-how-34060bfb014e818e911eeb257dfa3885?pvs=21), How much do you agree with this statement: When a learner is struggling, I feel confident that I can find an approach that will help them. (https://www.notion.so/How-much-do-you-agree-with-this-statement-When-a-learner-is-struggling-I-feel-confident-that-I-can-34060bfb014e812e9277f15ad5e78d08?pvs=21), How much do you agree with this statement: I find my work as a teacher or facilitator in this programme genuinely meaningful. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-find-my-work-as-a-teacher-or-facilitator-in-this-progra-34060bfb014e81f78a0dfa990b6ce34a?pvs=21), How much do you agree with this statement: Seeing my learners make progress is a source of real satisfaction for me in my work. (https://www.notion.so/How-much-do-you-agree-with-this-statement-Seeing-my-learners-make-progress-is-a-source-of-real-sati-34060bfb014e810c900df60e737ed875?pvs=21), How much do you agree with this statement: Even on difficult days, I remain motivated to do my best work for my learners. (https://www.notion.so/How-much-do-you-agree-with-this-statement-Even-on-difficult-days-I-remain-motivated-to-do-my-best--34060bfb014e813fb528d1d52431f72d?pvs=21)",,Not Published,Youth Impact,School  & Teacher Systems (https://www.notion.so/School-Teacher-Systems-31360bfb014e80f6b752ebc177705465?pvs=21),2: Outcome
Instructional Leadership and School Management,,,,"Covers whether school leaders and programme managers are providing the instructional leadership, structured teacher support, and school improvement planning required to create the institutional conditions for sustained learning quality improvement. The top-down enabling condition for school improvement. Distinct from professional learning cultures, which is peer-driven, and from assessment for learning systems, which is classroom-level. Captures whether leaders create the structural and cultural conditions that enable all other improvement processes to function.",Proposed. Pending Go-No Go,,"How much do you agree with this statement: My school leader or programme manager genuinely takes an interest in how I teach and how my learners are progressing. (https://www.notion.so/How-much-do-you-agree-with-this-statement-My-school-leader-or-programme-manager-genuinely-takes-an--34060bfb014e81c2985ce9868c7bab56?pvs=21), How much do you agree with this statement: When my school leader or programme manager gives me feedback on my teaching, it is specific and I know what to do differently. (https://www.notion.so/How-much-do-you-agree-with-this-statement-When-my-school-leader-or-programme-manager-gives-me-feedb-34060bfb014e8101aba8fb3b7f1717a2?pvs=21), How much do you agree with this statement: My school leader or programme manager actively removes barriers that make it hard for me to teach well. (https://www.notion.so/How-much-do-you-agree-with-this-statement-My-school-leader-or-programme-manager-actively-removes-ba-34060bfb014e81368d16e23b5b7c8e99?pvs=21), In the current school term, did a school leader or programme manager formally observe one of your teaching sessions and give you written feedback afterwards? (https://www.notion.so/In-the-current-school-term-did-a-school-leader-or-programme-manager-formally-observe-one-of-your-te-34060bfb014e81d9ae3bfe15bc30d720?pvs=21), What was the main feedback you received, and did it lead to any change in your teaching? (https://www.notion.so/What-was-the-main-feedback-you-received-and-did-it-lead-to-any-change-in-your-teaching-34060bfb014e81f0bf16eb1b33a6d26a?pvs=21)",,Not Published,Youth Impact,School  & Teacher Systems (https://www.notion.so/School-Teacher-Systems-31360bfb014e80f6b752ebc177705465?pvs=21),1: Output
Assessment for Learning Systems,,,,"Covers whether schools and programmes have functioning systems for using assessment data to understand learner progress and adapt instruction, including assessment tools, data recording, analysis routines, and instructional adaptation practices. Distinct from foundational learning attainment, which measures outcomes, and from professional learning cultures, which is peer-driven. Captures the institutional feedback loop between assessment information and teaching decisions.",Proposed. Pending Go-No Go,,"How much do you agree with this statement: After my teacher or facilitator gives me feedback on my work, I clearly understand what I am doing well. (https://www.notion.so/How-much-do-you-agree-with-this-statement-After-my-teacher-or-facilitator-gives-me-feedback-on-my-w-34060bfb014e813a9c43e22f92aa83dc?pvs=21), How much do you agree with this statement: After my teacher or facilitator gives me feedback on my work, I clearly understand what I need to do to improve. (https://www.notion.so/How-much-do-you-agree-with-this-statement-After-my-teacher-or-facilitator-gives-me-feedback-on-my-w-34060bfb014e81e8a6ebde32c1ebc341?pvs=21)",,Not Published,Youth Impact,School  & Teacher Systems (https://www.notion.so/School-Teacher-Systems-31360bfb014e80f6b752ebc177705465?pvs=21),1: Output
Collaborative and Civic Skills,,,,"Covers whether learners can work effectively with others, contribute to collective tasks, resolve disagreements constructively, and participate in basic civic processes. A relational and participatory competency construct. Distinct from communication skills, which is individual expression, and from learning to learn, which is internal and metacognitive. Captures the social infrastructure for adaptability and work readiness enacted in group and community contexts.",Proposed. Pending Go-No Go,,,,Not Published,Youth Impact,Transferable & Applied Skills (https://www.notion.so/Transferable-Applied-Skills-31360bfb014e80eb98bbe10289a71345?pvs=21),2: Outcome
Learning to Learn and Self-Regulation,,,,"Covers the metacognitive and self-regulatory skills that enable learners to direct their own learning, including goal setting, self-monitoring, persistence, and reflection. The foundational meta-skill construct. Distinct from domain-specific skills such as communication and digital skills, and from collaborative and civic skills. Captures the internal infrastructure that determines whether other transferable skills can be acquired and sustained across contexts.",Proposed. Pending Go-No Go,,"Think of a time in the current school term when you found something really difficult to learn or do. What happened, and what did you do when you felt like giving up or felt stuck? (https://www.notion.so/Think-of-a-time-in-the-current-school-term-when-you-found-something-really-difficult-to-learn-or-do--34060bfb014e81b8abc8ed215679458c?pvs=21), In the current school term, when you find something difficult in your learning sessions, how often do you keep trying rather than giving up? (https://www.notion.so/In-the-current-school-term-when-you-find-something-difficult-in-your-learning-sessions-how-often-d-34060bfb014e81c0b5a0c95079328a6f?pvs=21), Think of something specific you want to learn or get better at in this programme in the next few weeks or months. What is your goal, what specific action will you take to reach it, and how will you know when you have reached it? (https://www.notion.so/Think-of-something-specific-you-want-to-learn-or-get-better-at-in-this-programme-in-the-next-few-wee-34060bfb014e814a9d41fa0baa44b3cd?pvs=21)",,Not Published,Youth Impact,Transferable & Applied Skills (https://www.notion.so/Transferable-Applied-Skills-31360bfb014e80eb98bbe10289a71345?pvs=21),2: Outcome
Applied and Contextualised Skill Use,,,,"Covers whether learners can apply skills acquired in the programme context to new or real-world situations outside the classroom, including recognising skill relevance in a new context, adapting the skill appropriately, and applying it successfully. The transfer and application construct. Distinct from skill acquisition, which concerns whether skills were learned, and from learning to learn, which is metacognitive. Captures whether programme-acquired skills produce real-world benefit beyond the learning context.",Proposed. Pending Go-No Go,,"In the past 12 months, have you used something you learned in this programme in your life outside of the programme, for example at home, in your community, or in another school or activity? (https://www.notion.so/In-the-past-12-months-have-you-used-something-you-learned-in-this-programme-in-your-life-outside-of-34060bfb014e812e875fe55edb120b37?pvs=21), What skill or thing did you use, where or when did you use it, and what did you do? (https://www.notion.so/What-skill-or-thing-did-you-use-where-or-when-did-you-use-it-and-what-did-you-do-34060bfb014e81ca94bdda66f41173f5?pvs=21), Have you seen this young person use something they appear to have learned through their programme, in a situation outside the programme, in the past 12 months? If yes, what did you see, and did it make a positive difference? (https://www.notion.so/Have-you-seen-this-young-person-use-something-they-appear-to-have-learned-through-their-programme-i-34060bfb014e8115a6a7f2adcbea3454?pvs=21), I am going to describe a situation. For each one, tell me: is there a skill or approach from this programme that could help in this situation, and how would it help? [Enumerator: present the three programme-defined out-of-context scenarios one at a time and record responses verbatim.] (https://www.notion.so/I-am-going-to-describe-a-situation-For-each-one-tell-me-is-there-a-skill-or-approach-from-this-pr-34060bfb014e81b581c7e893991f7f36?pvs=21)",,Not Published,Youth Impact,Transferable & Applied Skills (https://www.notion.so/Transferable-Applied-Skills-31360bfb014e80eb98bbe10289a71345?pvs=21),2: Outcome
Revenue,,,,"Tracks income generated by the Learning Centre through space rental, tenancy agreements, and bespoke organisational training, and the proportion of Learning Centre running costs covered by commercial income.",In development,,,,Not Published,Youth Impact,Learning Centre Performance (https://www.notion.so/Learning-Centre-Performance-34060bfb014e81019f2cd476f1b66d12?pvs=21),1: Output
Reach,,,,"Tracks the number of individuals accessing free learning programmes through the Learning Centre, disaggregated by age, gender, and vulnerability status, and the volume of community learning sessions delivered directly and through tenant partners.",In development,,,,Not Published,Youth Impact,Learning Centre Performance (https://www.notion.so/Learning-Centre-Performance-34060bfb014e81019f2cd476f1b66d12?pvs=21),1: Output
Family Ripple Effect,,,,"Captures the extent to which a scholar's participation in TFFT programmes positively influences the educational attitudes, behaviours, and aspirations of siblings, parents, and wider household members — modelling what learning makes possible and raising household aspirations.",In development,,"Since [scholar name] joined the TFFT programme, have you noticed any changes in how other children in your household think about or engage with school? (https://www.notion.so/Since-scholar-name-joined-the-TFFT-programme-have-you-noticed-any-changes-in-how-other-children-i-34060bfb014e81a893c7e0f213d677c1?pvs=21), What changes have you noticed, and in which family members? (https://www.notion.so/What-changes-have-you-noticed-and-in-which-family-members-34060bfb014e81be9268ed3727a04587?pvs=21), Has [scholar name]'s experience with TFFT influenced how your family talks about education, future plans, or careers at home? (https://www.notion.so/Has-scholar-name-s-experience-with-TFFT-influenced-how-your-family-talks-about-education-future-p-34060bfb014e8171ad7cdd3d502c047a?pvs=21), Can you give an example of how those conversations have changed? (https://www.notion.so/Can-you-give-an-example-of-how-those-conversations-have-changed-34060bfb014e81aa9c16f8911bed71ec?pvs=21), In the past year, have any siblings or other household members taken up new learning opportunities, for example joining the Learning Centre, enrolling in a course, or returning to school? (https://www.notion.so/In-the-past-year-have-any-siblings-or-other-household-members-taken-up-new-learning-opportunities--34060bfb014e8136a40ae5d7c1f03859?pvs=21), Who, what did they take up, and do you think [scholar name]'s experience had any influence on that decision? (https://www.notion.so/Who-what-did-they-take-up-and-do-you-think-scholar-name-s-experience-had-any-influence-on-that-d-34060bfb014e8172a552cf797272d3c2?pvs=21)",,Not Published,Youth Impact,Scholars & Alumni (https://www.notion.so/Scholars-Alumni-34060bfb014e81058a88de9ef481569d?pvs=21),2: Outcome
Fair Compensation & Decent Work,,,,"Ensuring that all project workers receive wages and compensation that are fair, transparent, and equitable across gender and identity groups, and that employment conditions meet recognised decent work standards including job security, benefits, and dignified treatment.",Approved,,"Are wages fair for the work done, equitable across gender and identity groups, and accompanied by employment benefits such as leave, health support, or allowances? (https://www.notion.so/Are-wages-fair-for-the-work-done-equitable-across-gender-and-identity-groups-and-accompanied-by-em-34060bfb014e8150bae3e298d1616c4d?pvs=21), Is compensation for equivalent roles equitable and transparent across gender, ethnicity, age, and other identity groups with no unexplained pay gaps? (https://www.notion.so/Is-compensation-for-equivalent-roles-equitable-and-transparent-across-gender-ethnicity-age-and-ot-34060bfb014e81039971f70a96933f82?pvs=21), Are you treated with dignity and fairness in your work for this project, with no discrimination based on your gender, ethnicity, disability, age, or religion? (https://www.notion.so/Are-you-treated-with-dignity-and-fairness-in-your-work-for-this-project-with-no-discrimination-base-34060bfb014e812e9f70cd0abf9aadcf?pvs=21)",,Not Published,SMRV,Recruitment and Management (https://www.notion.so/Recruitment-and-Management-31360bfb014e80e98897f0aa9f40d117?pvs=21),1: Output
Inclusive & Localized Employment,,,,"Ensuring that project employment opportunities prioritise and are accessible to local community members, including women, Indigenous Peoples, persons with disabilities, and other marginalised groups. This sub-theme tracks equitable recruitment practices, local hiring targets, and the removal of barriers that prevent community members from benefiting economically from project-generated employment.",Approved,,"Does this project prioritise hiring local community members, with the majority of project roles filled by people from this community? (https://www.notion.so/Does-this-project-prioritise-hiring-local-community-members-with-the-majority-of-project-roles-fill-34060bfb014e81019b1edcfe3a9bdc2a?pvs=21), Do women, Indigenous Peoples, persons with disabilities, and other marginalised groups in your community have equal access to employment opportunities created by this project? (https://www.notion.so/Do-women-Indigenous-Peoples-persons-with-disabilities-and-other-marginalised-groups-in-your-commu-34060bfb014e8112b525c9fb21fc2137?pvs=21), Is the project’s recruitment process transparent, documented, and free from discrimination based on gender, ethnicity, disability, or social background? (https://www.notion.so/Is-the-project-s-recruitment-process-transparent-documented-and-free-from-discrimination-based-on--34060bfb014e81e298f7d6b6f035f712?pvs=21)",,Not Published,SMRV,Recruitment and Management (https://www.notion.so/Recruitment-and-Management-31360bfb014e80e98897f0aa9f40d117?pvs=21),1: Output
Worker Grievance & Industrial Relations,,,,"Ensuring that project workers have access to functioning, accessible, and trusted mechanisms to raise concerns about working conditions, treatment, or rights violations, and that worker-management relations are governed by fair, transparent, and accountable processes.",Approved,,"Are you aware of a mechanism to raise concerns about your working conditions, treatment, or rights, and do you feel confident you could use it safely without negative consequences? (https://www.notion.so/Are-you-aware-of-a-mechanism-to-raise-concerns-about-your-working-conditions-treatment-or-rights--34060bfb014e81aeac2df06e7257001d?pvs=21), When workers raise concerns or complaints about working conditions or treatment, are they resolved fairly and promptly with no retaliation? (https://www.notion.so/When-workers-raise-concerns-or-complaints-about-working-conditions-or-treatment-are-they-resolved-f-34060bfb014e81bcbdffd7133fde01ad?pvs=21), Is the relationship between workers and management in this project transparent, respectful, and governed by fair and accountable processes? (https://www.notion.so/Is-the-relationship-between-workers-and-management-in-this-project-transparent-respectful-and-gove-34060bfb014e8113b749fb5422a2309d?pvs=21)",,Not Published,SMRV,Recruitment and Management (https://www.notion.so/Recruitment-and-Management-31360bfb014e80e98897f0aa9f40d117?pvs=21),1: Output
