Question Text,Answer Type,Description,Has Conditional Logic?,Indicator database,Logic Summary,Platform Question ID. Populated after upload,Required?,Response option set,Stakeholder Category,Status,Status 1,Subtheme,Theme
"In the past five years, how has the level of damage caused by floods or droughts in your community changed?",Scale,Measures change in climate-related damage from floods or droughts over the past five years. Already exists under NRM — this version is linked to the Improved Ecosystem Services theme subtheme.,No,Percentage of community members within the project boundary who perceive that project-supported restoration and protection activities have successfully reduced deforestation and improved ecosystem health compared to the pre-project baseline. (https://www.notion.so/Percentage-of-community-members-within-the-project-boundary-who-perceive-that-project-supported-rest-33360bfb014e80a884f9f3f1c26c914a?pvs=21),,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Climate Resilience & Disaster Risk Reduction (https://www.notion.so/Climate-Resilience-Disaster-Risk-Reduction-33360bfb014e80b0ac3bdc48030c578c?pvs=21),Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21)
"Are there functioning waste collection and disposal systems in your community that prevent rubbish from being dumped near rivers, forests, or farming areas?",Scale,Measures whether effective waste collection and disposal systems are in place and functioning. Core pollution prevention output indicator.,No,Percentage reduction in the volume of unmanaged waste (litter/open dumping) in key ecosystem zones (forests/rivers) following the implementation of localized waste collection and disposal infrastructure. (https://www.notion.so/Percentage-reduction-in-the-volume-of-unmanaged-waste-litter-open-dumping-in-key-ecosystem-zones--33360bfb014e803e82b6e8e877180461?pvs=21),,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Pollution Prevention & Waste Management (https://www.notion.so/Pollution-Prevention-Waste-Management-33360bfb014e80e4811fe4484c36805c?pvs=21),Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21)
"Compared to a year ago, how has the amount of waste or rubbish dumped near rivers, forests, or farming land changed in your area?",Scale,Measures perceived change in volume of unmanaged waste in key ecosystem zones over the past year. Core pollution reduction outcome indicator.,No,Percentage reduction in the volume of unmanaged waste (litter/open dumping) in key ecosystem zones (forests/rivers) following the implementation of localized waste collection and disposal infrastructure. (https://www.notion.so/Percentage-reduction-in-the-volume-of-unmanaged-waste-litter-open-dumping-in-key-ecosystem-zones--33360bfb014e803e82b6e8e877180461?pvs=21),,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Pollution Prevention & Waste Management (https://www.notion.so/Pollution-Prevention-Waste-Management-33360bfb014e80e4811fe4484c36805c?pvs=21),Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21)
Have farming or agricultural practices in your community changed to reduce chemical runoff or contamination of soil and water from pesticides or fertilisers?,Scale,"Measures whether agricultural pollution from chemical runoff, pesticides, or fertilisers has changed. Specific to the agri-pollution dimension of waste and pollution management.",No,Percentage reduction in the volume of unmanaged waste (litter/open dumping) in key ecosystem zones (forests/rivers) following the implementation of localized waste collection and disposal infrastructure. (https://www.notion.so/Percentage-reduction-in-the-volume-of-unmanaged-waste-litter-open-dumping-in-key-ecosystem-zones--33360bfb014e803e82b6e8e877180461?pvs=21),,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Pollution Prevention & Waste Management (https://www.notion.so/Pollution-Prevention-Waste-Management-33360bfb014e80e4811fe4484c36805c?pvs=21),Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21)
Which of the following waste reduction or recycling practices do you or your household use? (Select all that apply),Multiple Choice,Multi-select capturing which waste reduction or recycling practices are used at household or community level. Captures circular economy and responsible disposal uptake.,No,Percentage reduction in the volume of unmanaged waste (litter/open dumping) in key ecosystem zones (forests/rivers) following the implementation of localized waste collection and disposal infrastructure. (https://www.notion.so/Percentage-reduction-in-the-volume-of-unmanaged-waste-litter-open-dumping-in-key-ecosystem-zones--33360bfb014e803e82b6e8e877180461?pvs=21),,,No,,"Communities affected by the project, Marginalised groups",In Development,Not started,Pollution Prevention & Waste Management (https://www.notion.so/Pollution-Prevention-Waste-Management-33360bfb014e80e4811fe4484c36805c?pvs=21),Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21)
Has your household’s spending on fuel — such as kerosene or charcoal — or the time spent collecting firewood changed since access to clean energy improved in your area?,Scale,Measures reduction in household expenditure on fossil fuels and time spent on fuelwood collection. Key indicator linking renewable energy access to economic and time benefits.,No,"Percentage reduction in household expenditure on fossil fuels (e.g., kerosene, diesel) and time spent on fuelwood collection, correlated with an increase in income-generating activities made possible by reliable energy access. (https://www.notion.so/Percentage-reduction-in-household-expenditure-on-fossil-fuels-e-g-kerosene-diesel-and-time-spen-33360bfb014e80f1b9d0f3371ed57c17?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Renewable Energy & Sustainable Energy Access (https://www.notion.so/Renewable-Energy-Sustainable-Energy-Access-33360bfb014e806d8f1ffb0d7ecc1a64?pvs=21),Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21)
Has reliable access to clean energy in your community enabled new income-generating activities or expanded economic opportunities for households?,Scale,Measures whether improved reliable energy access has enabled new income-generating activities. Captures the livelihoods dividend of clean energy access.,No,"Percentage reduction in household expenditure on fossil fuels (e.g., kerosene, diesel) and time spent on fuelwood collection, correlated with an increase in income-generating activities made possible by reliable energy access. (https://www.notion.so/Percentage-reduction-in-household-expenditure-on-fossil-fuels-e-g-kerosene-diesel-and-time-spen-33360bfb014e80f1b9d0f3371ed57c17?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Renewable Energy & Sustainable Energy Access (https://www.notion.so/Renewable-Energy-Sustainable-Energy-Access-33360bfb014e806d8f1ffb0d7ecc1a64?pvs=21),Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21)
"Does your household currently use any renewable energy systems — such as solar panels, biogas, or a community mini-grid — as a main or secondary source of power?",Scale,Measures whether the household uses decentralised renewable energy systems as a primary or secondary power source. Core renewable energy access indicator.,No,"Percentage of households and community institutions (e.g., clinics, schools) utilizing decentralized renewable energy systems (e.g., Solar Home Systems, mini-grids, or biogas) as their primary or secondary power source (https://www.notion.so/Percentage-of-households-and-community-institutions-e-g-clinics-schools-utilizing-decentralized-33360bfb014e8025b9deea07c9d6f3b4?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Renewable Energy & Sustainable Energy Access (https://www.notion.so/Renewable-Energy-Sustainable-Energy-Access-33360bfb014e806d8f1ffb0d7ecc1a64?pvs=21),Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21)
Which renewable or clean energy technologies does your household currently use? (Select all that apply),Multiple Choice,Multi-select identifying which specific renewable energy technologies are in use. Provides disaggregated data on clean energy adoption type.,Yes,"Percentage of households and community institutions (e.g., clinics, schools) utilizing decentralized renewable energy systems (e.g., Solar Home Systems, mini-grids, or biogas) as their primary or secondary power source (https://www.notion.so/Percentage-of-households-and-community-institutions-e-g-clinics-schools-utilizing-decentralized-33360bfb014e8025b9deea07c9d6f3b4?pvs=21)","Does your household currently use any renewable energy systems — such as solar panels, biogas, or a community mini-grid — as a main or secondary source of power?",,No,,"Communities affected by the project, Marginalised groups",In Development,Not started,Renewable Energy & Sustainable Energy Access (https://www.notion.so/Renewable-Energy-Sustainable-Energy-Access-33360bfb014e806d8f1ffb0d7ecc1a64?pvs=21),Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21)
How confident do you feel in making independent decisions about land use and farming practices that balance environmental sustainability with your household’s livelihood needs?,Scale,Measures confidence and knowledge to make independent land-use decisions. Core land management self-efficacy indicator.,No,Percentage of individuals (disaggregated by gender and youth) reporting high levels of confidence and sufficient knowledge to make independent decisions regarding household livelihoods and land use within <<specified period>> (https://www.notion.so/Percentage-of-individuals-disaggregated-by-gender-and-youth-reporting-high-levels-of-confidence-an-33360bfb014e803b9915f6bb059dd596?pvs=21),,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Sustainable Land & Soil Management (https://www.notion.so/Sustainable-Land-Soil-Management-33360bfb014e80df914ff2c1e08762b2?pvs=21),Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21)
"Have you adopted sustainable farming or land management practices such as no-till farming, cover cropping, composting, or integrated pest management?",Scale,"Measures whether the farmer has adopted sustainable farming methods including no-till, cover cropping, integrated pest management, or composting. Core sustainable land management indicator.",No,"Proportion of local land users (disaggregated by gender) who have successfully transitioned to at least three sustainable farming methods (e.g., no-till, cover cropping, or integrated pest management). (https://www.notion.so/Proportion-of-local-land-users-disaggregated-by-gender-who-have-successfully-transitioned-to-at-le-33360bfb014e80349d4cc001fcda32cd?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Sustainable Land & Soil Management (https://www.notion.so/Sustainable-Land-Soil-Management-33360bfb014e80df914ff2c1e08762b2?pvs=21),Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21)
How would you describe the health and fertility of the soil on your land compared to one year ago?,Scale,Measures perceived change in soil health and fertility over the past year. Outcome indicator for sustainable land management practices.,No,"Proportion of local land users (disaggregated by gender) who have successfully transitioned to at least three sustainable farming methods (e.g., no-till, cover cropping, or integrated pest management). (https://www.notion.so/Proportion-of-local-land-users-disaggregated-by-gender-who-have-successfully-transitioned-to-at-le-33360bfb014e80349d4cc001fcda32cd?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Sustainable Land & Soil Management (https://www.notion.so/Sustainable-Land-Soil-Management-33360bfb014e80df914ff2c1e08762b2?pvs=21),Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21)
Which of the following sustainable land and soil management practices do you currently use? (Select all that apply),Multiple Choice,Multi-select identifying which specific sustainable land and soil management practices have been adopted. Provides disaggregated data on land management technique uptake.,Yes,"Proportion of local land users (disaggregated by gender) who have successfully transitioned to at least three sustainable farming methods (e.g., no-till, cover cropping, or integrated pest management). (https://www.notion.so/Proportion-of-local-land-users-disaggregated-by-gender-who-have-successfully-transitioned-to-at-le-33360bfb014e80349d4cc001fcda32cd?pvs=21)","Have you adopted sustainable farming or land management practices such as no-till farming, cover cropping, composting, or integrated pest management?",,No,,"Communities affected by the project, Marginalised groups",In Development,Not started,Sustainable Land & Soil Management (https://www.notion.so/Sustainable-Land-Soil-Management-33360bfb014e80df914ff2c1e08762b2?pvs=21),Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21)
"Compared to a year ago, how has the quality of water available to your household for drinking and domestic use changed?",Scale,Measures perceived change in water quality over the past year. Captures the water contamination dimension of watershed protection.,No,"Percentage reduction in water-borne contaminants (e.g., sediment, nitrates, bacteria) at community intake points, resulting from the elimination of open-defecation, agricultural runoff, and erosion in protected watershed zones. (https://www.notion.so/Percentage-reduction-in-water-borne-contaminants-e-g-sediment-nitrates-bacteria-at-community-i-33360bfb014e8021b248edfe95369e76?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Water Security & Watershed Protection (https://www.notion.so/Water-Security-Watershed-Protection-33360bfb014e80f2aadbf151931873bb?pvs=21),Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21)
Is there a Water User Association or community water management group in your area with a formal plan for managing and protecting water sources?,Scale,Measures whether a Water User Association with a formal management plan exists. Key governance indicator for collective watershed management.,No,Existence of community-managed Water User Associations (WUAs) with a dedicated budget and a formal 'Watershed Management Plan' recognized by local government authorities. (https://www.notion.so/Existence-of-community-managed-Water-User-Associations-WUAs-with-a-dedicated-budget-and-a-formal--33360bfb014e80febbfcc95ef620cb24?pvs=21),,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Water Security & Watershed Protection (https://www.notion.so/Water-Security-Watershed-Protection-33360bfb014e80f2aadbf151931873bb?pvs=21),Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21)
How have watershed protection and forest conservation efforts in your area affected the availability and reliability of water for your community?,Scale,Measures whether watershed protection and forest conservation efforts have improved water availability and reliability. Links ecosystem restoration to water security outcomes.,No,Existence of community-managed Water User Associations (WUAs) with a dedicated budget and a formal 'Watershed Management Plan' recognized by local government authorities. (https://www.notion.so/Existence-of-community-managed-Water-User-Associations-WUAs-with-a-dedicated-budget-and-a-formal--33360bfb014e80febbfcc95ef620cb24?pvs=21),,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Water Security & Watershed Protection (https://www.notion.so/Water-Security-Watershed-Protection-33360bfb014e80f2aadbf151931873bb?pvs=21),Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21)
"Does your household have reliable access to safe, clean water throughout the year?",Scale,Measures household-level water security — reliable access to safe clean water year-round. Core water security outcome indicator.,No,"Percentage reduction in water-borne contaminants (e.g., sediment, nitrates, bacteria) at community intake points, resulting from the elimination of open-defecation, agricultural runoff, and erosion in protected watershed zones. (https://www.notion.so/Percentage-reduction-in-water-borne-contaminants-e-g-sediment-nitrates-bacteria-at-community-i-33360bfb014e8021b248edfe95369e76?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Water Security & Watershed Protection (https://www.notion.so/Water-Security-Watershed-Protection-33360bfb014e80f2aadbf151931873bb?pvs=21),Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21)
"Do you know where and how to safely report a child protection concern such as abuse, neglect, or exploitation of a child?",Scale,Measures whether community members know where and how to safely report a child protection concern. Tests practical knowledge of reporting pathways.,No,"Percentage of reported child protection incidents that receive a formal follow-up and documented support intervention (legal, medical, or psychosocial) within 72 hours of the initial report. (https://www.notion.so/Percentage-of-reported-child-protection-incidents-that-receive-a-formal-follow-up-and-documented-sup-32f60bfb014e80cfb9edc93df22f487a?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Child Protection & Support for Vulnerable Children (https://www.notion.so/Child-Protection-Support-for-Vulnerable-Children-32f60bfb014e807f9066e2fd3d4e689b?pvs=21),Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21)
"Does your community have clear and functioning systems for reporting and responding to concerns about child abuse, neglect, or exploitation?",Scale,"Measures whether community members believe there are functioning systems to identify, report, and respond to child protection concerns. Core child protection systems indicator.",No,"Percentage of reported child protection incidents that receive a formal follow-up and documented support intervention (legal, medical, or psychosocial) within 72 hours of the initial report. (https://www.notion.so/Percentage-of-reported-child-protection-incidents-that-receive-a-formal-follow-up-and-documented-sup-32f60bfb014e80cfb9edc93df22f487a?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Child Protection & Support for Vulnerable Children (https://www.notion.so/Child-Protection-Support-for-Vulnerable-Children-32f60bfb014e807f9066e2fd3d4e689b?pvs=21),Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21)
"Are orphaned and vulnerable children in your community receiving adequate support through formal care arrangements, family strengthening programmes, or other services?",Scale,"Measures whether orphaned and vulnerable children have access to alternative care, family strengthening programmes, or other formal support. Key child welfare outcome indicator.",No,"Percentage of reported child protection incidents that receive a formal follow-up and documented support intervention (legal, medical, or psychosocial) within 72 hours of the initial report. (https://www.notion.so/Percentage-of-reported-child-protection-incidents-that-receive-a-formal-follow-up-and-documented-sup-32f60bfb014e80cfb9edc93df22f487a?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Child Protection & Support for Vulnerable Children (https://www.notion.so/Child-Protection-Support-for-Vulnerable-Children-32f60bfb014e807f9066e2fd3d4e689b?pvs=21),Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21)
"Are vulnerable children in your community — including orphans, child-headed household members, and children with disabilities — enrolled in and regularly attending school?",Scale,Measures whether vulnerable children have access to and are supported in education. Links child protection outcomes to education access for OVC.,No,"Proportion of enrolled learners from programme-defined vulnerable groups who achieved an attendance rate of at least 80 percent in the most recent completed school term, verified through attendance records (https://www.notion.so/Proportion-of-enrolled-learners-from-programme-defined-vulnerable-groups-who-achieved-an-attendance--32060bfb014e80929a5ed009b0162835?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Child Protection & Support for Vulnerable Children (https://www.notion.so/Child-Protection-Support-for-Vulnerable-Children-32f60bfb014e807f9066e2fd3d4e689b?pvs=21),Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21)
Do you trust the police and justice institutions in your area to investigate and address crimes or wrongdoings if reported?,Scale,Measures trust in police and justice institutions. Trust in justice systems is a prerequisite for community safety — without it reporting is suppressed.,No,"Proportion of community members participating in or aware of community-led safety efforts, such as forest patrols or local awareness campaigns, by the end of the second reporting period. (https://www.notion.so/Proportion-of-community-members-participating-in-or-aware-of-community-led-safety-efforts-such-as-f-32f60bfb014e80fdb3e6d08555c794ef?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,"Community Safety, Crime Prevention & Justice Services (https://www.notion.so/Community-Safety-Crime-Prevention-Justice-Services-32f60bfb014e80258b53e58a0f3d10db?pvs=21)",Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21)
"Are you aware of any community-led safety efforts in your area, such as community patrols, neighbourhood watch groups, or local safety campaigns?",Scale,Measures awareness of and participation in community-led safety efforts such as patrols or awareness campaigns. Community safety collective action indicator.,No,"Proportion of community members participating in or aware of community-led safety efforts, such as forest patrols or local awareness campaigns, by the end of the second reporting period. (https://www.notion.so/Proportion-of-community-members-participating-in-or-aware-of-community-led-safety-efforts-such-as-f-32f60bfb014e8000a1bbe76e66d14c68?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,"Community Safety, Crime Prevention & Justice Services (https://www.notion.so/Community-Safety-Crime-Prevention-Justice-Services-32f60bfb014e80258b53e58a0f3d10db?pvs=21)",Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21)
"How safe do you feel in your community from crime, violence, trafficking, or exploitation?",Scale,"Measures perceived personal safety from violence, crime, trafficking, and exploitation. Core community safety perception indicator.",No,"Proportion of community members participating in or aware of community-led safety efforts, such as forest patrols or local awareness campaigns, by the end of the second reporting period. (https://www.notion.so/Proportion-of-community-members-participating-in-or-aware-of-community-led-safety-efforts-such-as-f-32f60bfb014e8000a1bbe76e66d14c68?pvs=21)",,,Yes,,"Communities affected by the project, Marginalised groups",In Development,Not started,"Community Safety, Crime Prevention & Justice Services (https://www.notion.so/Community-Safety-Crime-Prevention-Justice-Services-32f60bfb014e80258b53e58a0f3d10db?pvs=21)",Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21)
"In your community, can people access fair and responsive justice services when needed — for example, legal aid, police support, or community mediation?",Scale,Measures perceived accessibility and fairness of justice systems. Key community safety outcome — tests whether people believe they can seek redress.,No,"Proportion of community members participating in or aware of community-led safety efforts, such as forest patrols or local awareness campaigns, by the end of the second reporting period. (https://www.notion.so/Proportion-of-community-members-participating-in-or-aware-of-community-led-safety-efforts-such-as-f-32f60bfb014e80fdb3e6d08555c794ef?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,"Community Safety, Crime Prevention & Justice Services (https://www.notion.so/Community-Safety-Crime-Prevention-Justice-Services-32f60bfb014e80258b53e58a0f3d10db?pvs=21)",Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21)
"Compared to a year ago, how has children’s ability to complete a school year and progress to the next grade changed in your community?",Scale,Measures perceived trend in school completion and grade progression. Outcome-level education quality indicator.,No,"Proportion of enrolled learners from programme-defined vulnerable groups who completed the school year and progressed to the next grade, in the most recent completed school year (https://www.notion.so/Proportion-of-enrolled-learners-from-programme-defined-vulnerable-groups-who-completed-the-school-ye-32060bfb014e8055a00dc2850d0bae2a?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Education & Inclusive Learning (https://www.notion.so/Education-Inclusive-Learning-32f60bfb014e8041baedf45953b96c63?pvs=21),Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21)
"How would you describe the overall quality of education available in your community — including teacher quality, learning materials, and support for all learners?",Scale,"Measures perceived quality of education in the community, including teacher quality, learning materials, and inclusion. Core education quality perception indicator.",No,"Proportion of enrolled learners from programme-defined vulnerable groups who completed the school year and progressed to the next grade, in the most recent completed school year (https://www.notion.so/Proportion-of-enrolled-learners-from-programme-defined-vulnerable-groups-who-completed-the-school-ye-32060bfb014e8055a00dc2850d0bae2a?pvs=21)",,,Yes,,"Communities affected by the project, Marginalised groups",In Development,Not started,Education & Inclusive Learning (https://www.notion.so/Education-Inclusive-Learning-32f60bfb014e8041baedf45953b96c63?pvs=21),Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21)
"Are schools in your community genuinely inclusive — welcoming and accessible to children with disabilities, girls, and other marginalised groups without barriers?",Scale,"Measures inclusiveness of education for marginalised groups including children with disabilities, girls, and minority groups. Core inclusive learning indicator.",No,"Proportion of enrolled learners from programme-defined vulnerable groups who achieved an attendance rate of at least 80 percent in the most recent completed school term, verified through attendance records (https://www.notion.so/Proportion-of-enrolled-learners-from-programme-defined-vulnerable-groups-who-achieved-an-attendance--32060bfb014e80929a5ed009b0162835?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Education & Inclusive Learning (https://www.notion.so/Education-Inclusive-Learning-32f60bfb014e8041baedf45953b96c63?pvs=21),Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21)
"How safe and welcoming do you consider the school environment for all children in your community, including those from marginalised groups?",Scale,"Measures perceived physical and emotional safety of the school environment. Safe school environment is a prerequisite for inclusive, quality learning.",No,"Proportion of enrolled learners from programme-defined vulnerable groups who achieved an attendance rate of at least 80 percent in the most recent completed school term, verified through attendance records (https://www.notion.so/Proportion-of-enrolled-learners-from-programme-defined-vulnerable-groups-who-achieved-an-attendance--32060bfb014e80929a5ed009b0162835?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Education & Inclusive Learning (https://www.notion.so/Education-Inclusive-Learning-32f60bfb014e8041baedf45953b96c63?pvs=21),Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21)
