Indicator statement,Indicator descriptor,Sub-themes,Theme,Development Status,Indicator Type,Level of Analysis,ToC stage,Indicator sources,Developed By,Date Started,Date Completed,Status
"Whether the school or programme site has a current documented school improvement plan containing at least two specific measurable learning quality targets with named responsible persons and review dates, disaggregated by site type and geographic area","Measures whether each school or programme site has a current documented school improvement plan containing at least two specific measurable learning quality targets with named responsible persons and review dates, used as an instructional leadership infrastructure indicator.",Instructional Leadership and School Management (https://www.notion.so/Instructional-Leadership-and-School-Management-33f60bfb014e815ebfaaea27b20b4d3c?pvs=21),School  & Teacher Systems,Draft,Binary,System,1: Process,,,,,Not Published
"Proportion of assessment tools in use that meet all three defined validity and appropriateness criteria covering learning level validation, language adaptation, and cultural appropriateness review, in the reporting year","Measures the proportion of assessment tools in use across the programme that have been validated for learning level, adapted for language of instruction, and reviewed for cultural appropriateness, used as an assessment quality infrastructure indicator.",Assessment for Learning Systems (https://www.notion.so/Assessment-for-Learning-Systems-33f60bfb014e81e1b139c397cbc563f7?pvs=21),School  & Teacher Systems,Draft,Quantitative,System,1: Process,,,,,Not Published
"Proportion of programme teachers and facilitators who report adequate instructional leadership support across genuine interest, actionable feedback, and enabling conditions dimensions, assessed through anonymous annual survey","Measures the proportion of programme teachers and facilitators who report adequate instructional leadership support across genuine interest, actionable feedback, and enabling conditions dimensions, used as an instructional leadership effectiveness indicator from the teacher perspective.",Instructional Leadership and School Management (https://www.notion.so/Instructional-Leadership-and-School-Management-33f60bfb014e815ebfaaea27b20b4d3c?pvs=21),School  & Teacher Systems,Draft,Scale-Based,Individual,2: Outcome,,,,,Not Published
"Proportion of programme teachers and facilitators who report adequate working conditions across workload, class size, material availability, and physical environment dimensions, assessed through anonymous annual survey, disaggregated by site type and geographic area","Measures the proportion of programme teachers and facilitators who report adequate working conditions across workload manageability, class size manageability, material availability, and physical environment adequacy dimensions, used as a structural wellbeing indicator for teaching workforce sustainability.","Teacher Motivation, Retention and Wellbeing (https://www.notion.so/Teacher-Motivation-Retention-and-Wellbeing-33f60bfb014e813fb6d2e68cff166d40?pvs=21)",School  & Teacher Systems,Draft,Scale-Based,Individual,2: Outcome,,,,,Not Published
"Proportion of programme teachers and facilitators in post at the start of the school year who remained in post at the end of the same school year, excluding planned fixed-term exits, disaggregated by gender, years of experience, and site type","Measures the proportion of programme teachers and facilitators in post at the start of the school year who remained in post at the end of the same school year, excluding planned fixed-term exits, disaggregated by gender, years of experience, and site type, used as a workforce sustainability indicator.","Teacher Motivation, Retention and Wellbeing (https://www.notion.so/Teacher-Motivation-Retention-and-Wellbeing-33f60bfb014e813fb6d2e68cff166d40?pvs=21)",School  & Teacher Systems,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of programme teachers and facilitators who report adequate job satisfaction and intrinsic motivation across meaningfulness, satisfaction from learner progress, and sustained motivation under challenge dimensions, assessed through anonymous annual survey","Measures the proportion of programme teachers and facilitators who report adequate job satisfaction and intrinsic motivation across meaningfulness, satisfaction from learner progress, and sustained motivation dimensions, used as a teacher wellbeing and workforce sustainability indicator.","Teacher Motivation, Retention and Wellbeing (https://www.notion.so/Teacher-Motivation-Retention-and-Wellbeing-33f60bfb014e813fb6d2e68cff166d40?pvs=21)",School  & Teacher Systems,Draft,Scale-Based,Individual,2: Outcome,,,,,Not Published
"Whether the school or programme site has a functioning formative assessment system meeting all four defined criteria in the school term prior to the survey, disaggregated by site type and geographic area","Measures whether the school or programme site has a functioning formative assessment system meeting four defined criteria covering tool availability, recording systems, teacher use, and classroom observation confirmation, used as an assessment infrastructure indicator.",Assessment for Learning Systems (https://www.notion.so/Assessment-for-Learning-Systems-33f60bfb014e81e1b139c397cbc563f7?pvs=21),School  & Teacher Systems,Draft,Binary,System,1: Process,,,,,Not Published
"Proportion of observed teaching sessions in which the teacher used at least one qualifying formative assessment practice with a visible instructional adjustment, assessed through structured classroom observation in the school term prior to the survey","Measures the proportion of observed teaching sessions in which the teacher used at least one qualifying formative assessment practice involving a deliberate understanding check followed by a visible instructional adjustment, used as a classroom assessment practice frequency indicator.",Assessment for Learning Systems (https://www.notion.so/Assessment-for-Learning-Systems-33f60bfb014e81e1b139c397cbc563f7?pvs=21),School  & Teacher Systems,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of programme teachers and facilitators who received at least one qualifying structured classroom observation and written feedback session from an instructional leader in the school term prior to the survey, disaggregated by gender, years of experience, and site","Measures the proportion of programme teachers and facilitators who received at least one qualifying structured classroom observation followed by written feedback from an instructional leader in the school term prior to the survey, used as an instructional leadership quality indicator.",Instructional Leadership and School Management (https://www.notion.so/Instructional-Leadership-and-School-Management-33f60bfb014e815ebfaaea27b20b4d3c?pvs=21),School  & Teacher Systems,Draft,Quantitative,Individual,1: Process,,,,,Not Published
"Whether the head teacher or programme manager made at least one documented data-informed instructional leadership decision grounded in learner assessment or monitoring data in the school term prior to the survey, disaggregated by site type and geographic area","Measures whether the head teacher or programme manager made at least one documented data-informed instructional leadership decision grounded in learner assessment or monitoring data in the school term prior to the survey, used as an evidence-based leadership indicator.",Instructional Leadership and School Management (https://www.notion.so/Instructional-Leadership-and-School-Management-33f60bfb014e815ebfaaea27b20b4d3c?pvs=21),School  & Teacher Systems,Draft,Binary,System,2: Outcome,,,,,Not Published
"Proportion of programme teachers and facilitators who report adequate professional self-efficacy across impact belief and responsive efficacy for struggling learners dimensions, assessed through anonymous annual survey","Measures the proportion of programme teachers and facilitators who report adequate professional self-efficacy across impact belief and responsive efficacy for struggling learners dimensions, used as a professional identity indicator for the motivational belief that sustains instructional effort.","Teacher Motivation, Retention and Wellbeing (https://www.notion.so/Teacher-Motivation-Retention-and-Wellbeing-33f60bfb014e813fb6d2e68cff166d40?pvs=21)",School  & Teacher Systems,Draft,Scale-Based,Individual,2: Outcome,,,,,Not Published
"Proportion of observed teaching sessions in which at least 70 percent of learners demonstrate active engagement across defined observable behaviours, assessed through structured interval scan observation in the school term prior to the survey, disaggregated by teacher gender, teaching level, and site","Measures the proportion of observed teaching sessions in which at least 70 percent of learners demonstrate active engagement across five defined observable behaviours, assessed through structured interval scan observation, used as a classroom interaction coverage indicator for broad learner participation.",Classroom interaction and engagement (https://www.notion.so/Classroom-interaction-and-engagement-31260bfb014e8078a17dccf0bc86781b?pvs=21),Teaching Practice & Facilitation,Draft,Quantitative,Individual,1: Process,,,,,Not Published
"Proportion of sampled learner interactions in observed sessions classified as substantive cognitive engagement rather than surface compliance, assessed through structured classroom observation in the school term prior to the survey, disaggregated by teacher gender, teaching level, and site","Measures the proportion of sampled learner interactions in observed sessions classified as substantive cognitive engagement rather than surface compliance, used as a classroom interaction depth indicator for the quality of learner participation.",Classroom interaction and engagement (https://www.notion.so/Classroom-interaction-and-engagement-31260bfb014e8078a17dccf0bc86781b?pvs=21),Teaching Practice & Facilitation,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of learners who report that participation opportunities are fairly distributed across all learners in the school term prior to the survey, disaggregated by gender, age band, vulnerable group status, and site","Measures the proportion of learners who report that participation opportunities are fairly distributed across all learners across equal chances and facilitator effort to include quieter learners dimensions, used as a classroom interaction equity indicator.",Classroom interaction and engagement (https://www.notion.so/Classroom-interaction-and-engagement-31260bfb014e8078a17dccf0bc86781b?pvs=21),Teaching Practice & Facilitation,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of learners who report adequate participation opportunity across frequency of chance to share and frequency of feeling invited and welcomed in the school term prior to the survey, disaggregated by gender, age band, vulnerable group status, and site","Measures the proportion of learners who report adequate participation opportunity across frequency of chance to share and frequency of feeling invited and welcomed in the school term prior to the survey, used as a learner experience indicator for the demand-side perception of classroom interaction quality.",Classroom interaction and engagement (https://www.notion.so/Classroom-interaction-and-engagement-31260bfb014e8078a17dccf0bc86781b?pvs=21),Teaching Practice & Facilitation,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of observed teaching sessions that included at least two distinct types of qualifying interactive learning activity from at least two different taxonomy categories, assessed through structured classroom observation in the school term prior to the survey, disaggregated by teacher gender, years of experience, and site","Measures the proportion of observed sessions that included at least two distinct types of qualifying interactive learning activity from at least two different taxonomy categories, used as a facilitation repertoire indicator for interactive activity type diversity.",Classroom interaction and engagement (https://www.notion.so/Classroom-interaction-and-engagement-31260bfb014e8078a17dccf0bc86781b?pvs=21),Teaching Practice & Facilitation,Draft,Quantitative,Individual,1: Process,,,,,Not Published
"Proportion of observed interactive learning activities that met all three defined implementation fidelity criteria covering learner engagement breadth, interaction authenticity, and task completion, assessed through structured classroom observation in the school term prior to the survey, disaggregated by activity type and site","Measures the proportion of observed interactive learning activities that met all three implementation fidelity criteria covering learner engagement breadth, interaction authenticity, and task completion, used as a facilitation quality indicator for whether interactive activities produce genuine learner interaction.",Classroom interaction and engagement (https://www.notion.so/Classroom-interaction-and-engagement-31260bfb014e8078a17dccf0bc86781b?pvs=21),Teaching Practice & Facilitation,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of individual learners observed making at least one qualifying verbal or task-based contribution in each observed session, assessed through individual learner tracking in the school term prior to the survey, disaggregated by gender, vulnerable group status, seating position, and site","Measures the proportion of individual learners who are observed making at least one qualifying verbal or task-based contribution in each observed session, used as a classroom interaction equity indicator for individual learner contribution equity as distinct from session-level participation breadth.",Classroom interaction and engagement (https://www.notion.so/Classroom-interaction-and-engagement-31260bfb014e8078a17dccf0bc86781b?pvs=21),Teaching Practice & Facilitation,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of observed teaching sessions that included at least two qualifying interactive learner-engagement activities of any type from the programme taxonomy, assessed through structured classroom observation in the school term prior to the survey, disaggregated by teacher gender, years of experience, and site","Measures the proportion of observed sessions that included at least two qualifying interactive learner-engagement activities of any type from the programme taxonomy, used as a facilitation baseline indicator for minimum structured learner engagement as a development stage marker preceding the more demanding category diversity standard in indicator 5a.",Classroom interaction and engagement (https://www.notion.so/Classroom-interaction-and-engagement-31260bfb014e8078a17dccf0bc86781b?pvs=21),Teaching Practice & Facilitation,Draft,Quantitative,Individual,1: Process,,,,,Not Published
"Proportion of weekly lesson plans that include documented differentiated activities for at least two identified learner groups meeting four defined criteria, in the school term prior to the survey, disaggregated by teacher gender, years of experience, and site","Measures the proportion of weekly lesson plans submitted in the school term that include documented differentiated activities for at least two identified learner groups meeting four defined quality criteria, used as a pedagogical planning indicator for the systematic advance planning of differentiated instruction.",Learner-centred pedagogy (https://www.notion.so/Learner-centred-pedagogy-31260bfb014e80edab0bc810149c1cc6?pvs=21),Teaching Practice & Facilitation,Draft,Quantitative,Individual,1: Process,,,,,Not Published
"Proportion of observed teaching sessions in which the teacher implemented structured differentiated provision for at least two distinct learner groups meeting three defined criteria, assessed through structured classroom observation in the school term prior to the survey, disaggregated by teacher gender, years of experience, and site","Measures the proportion of observed sessions in which the teacher implemented structured differentiated provision for at least two distinct learner groups meeting three defined criteria, used as a pedagogical practice indicator for the classroom-level delivery of differentiated instruction.",Learner-centred pedagogy (https://www.notion.so/Learner-centred-pedagogy-31260bfb014e80edab0bc810149c1cc6?pvs=21),Teaching Practice & Facilitation,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of documented structured formative assessment records that have at least one qualifying documented instructional follow-up action directly addressing identified learner findings in the school term prior to the survey, disaggregated by gender, years of experience, and site","Measures the proportion of documented structured formative assessment records in the school term that have at least one documented instructional follow-up action directly addressing identified learner findings and specifying an implementation timeframe, used as a teaching practice quality indicator for assessment-to-instruction translation.",Use of assessments to support  learning (https://www.notion.so/Use-of-assessments-to-support-learning-31260bfb014e809da07be351d7091f33?pvs=21),Teaching Practice & Facilitation,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of programme teachers and facilitators who produced at least two qualifying documented structured formative assessment records with individual or group learner findings and learning implications in the school term prior to the survey, disaggregated by gender, years of experience, and site","Measures the proportion of programme teachers and facilitators who produced at least two qualifying documented structured formative assessment records including individual or group learner findings and learning implications in the school term prior to the survey, used as a teaching practice indicator for formative assessment documentation.",Use of assessments to support  learning (https://www.notion.so/Use-of-assessments-to-support-learning-31260bfb014e809da07be351d7091f33?pvs=21),Teaching Practice & Facilitation,Draft,Quantitative,Individual,1: Process,,,,,Not Published
"Proportion of programme teachers and facilitators who conducted and documented at least the programme-defined minimum number of qualifying formative assessments in the school term prior to the survey, disaggregated by gender, years of experience, and site","Measures the proportion of programme teachers and facilitators who conducted and documented at least the programme-defined minimum number of qualifying formative assessments in the school term prior to the survey, used as a classroom assessment practice indicator for formative assessment frequency and documentation.",Use of assessments to support  learning (https://www.notion.so/Use-of-assessments-to-support-learning-31260bfb014e809da07be351d7091f33?pvs=21),Teaching Practice & Facilitation,Draft,Quantitative,Individual,1: Process,,,,,Not Published
"Proportion of documented formative assessments in the school term that produced a qualifying documented instructional follow-up action within five teaching days directly addressing a specific assessment finding, disaggregated by action type, teacher gender, and site","Measures the proportion of documented formative assessments in the school term that produced a qualifying documented instructional follow-up action within five teaching days directly addressing a specific assessment finding, used as a teaching responsiveness indicator for assessment-to-action follow-through.",Use of assessments to support  learning (https://www.notion.so/Use-of-assessments-to-support-learning-31260bfb014e809da07be351d7091f33?pvs=21),Teaching Practice & Facilitation,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of enrolled learners who received at least one qualifying piece of individual formative feedback linked to a specific assessment finding in the school term prior to the survey, disaggregated by gender, age band, vulnerable group status, and learning level","Measures the proportion of enrolled learners who received at least one qualifying piece of individual formative feedback linked to a specific assessment finding in the school term prior to the survey, used as a feedback equity indicator for individual progress feedback receipt.",Use of assessments to support  learning (https://www.notion.so/Use-of-assessments-to-support-learning-31260bfb014e809da07be351d7091f33?pvs=21),Teaching Practice & Facilitation,Draft,Quantitative,Individual,1: Process,,,,,Not Published
"Proportion of learners who received individual formative feedback and report clearly understanding both their strengths and their improvement areas from that feedback, in the school term prior to the survey, disaggregated by gender, age band, and learning level","Measures the proportion of learners who received individual formative feedback and report clearly understanding both what they were doing well and what they needed to do differently, used as a feedback effectiveness indicator for learner feedback comprehension.",Use of assessments to support  learning (https://www.notion.so/Use-of-assessments-to-support-learning-31260bfb014e809da07be351d7091f33?pvs=21),Teaching Practice & Facilitation,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of programme youth who demonstrate proficiency at or above the programme-defined standard in at least two of three assessed transferable skill domains at end of school year, derived from domain-level assessments, disaggregated by gender, age band, and site","Measures the proportion of programme youth who demonstrate proficiency at or above the programme-defined standard in at least two of three assessed skill domains, communication, problem-solving, and digital skills, at end of school year, used as a composite summary indicator derived from the three domain-specific proficiency indicators.","Communication, problem-solving, digital skills (https://www.notion.so/Communication-problem-solving-digital-skills-31260bfb014e80039188ef3e68b921bf?pvs=21)",Transferable & Applied Skills,Draft,Composite Index,Individual,2: Outcome,,,,,Not Published
"Proportion of programme youth who demonstrate proficiency at or above the locally calibrated programme-defined standard across at least two of three defined digital skill areas at end of school year, disaggregated by gender, age band, vulnerable group status, and device access level","Measures the proportion of programme youth who demonstrate digital skills proficiency at or above a locally calibrated programme-defined standard across at least two of three defined skill areas at end of school year, used as a domain-specific transferable skill indicator for digital skills.","Communication, problem-solving, digital skills (https://www.notion.so/Communication-problem-solving-digital-skills-31260bfb014e80039188ef3e68b921bf?pvs=21)",Transferable & Applied Skills,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of programme youth who demonstrate proficiency at or above the programme-defined standard on both oral and written communication components at end of school year, disaggregated by gender, age band, vulnerable group status, and site","Measures the proportion of programme youth who demonstrate communication proficiency at or above the programme-defined standard on both oral and written components at end of school year, used as a domain-specific transferable skill indicator for communication.","Communication, problem-solving, digital skills (https://www.notion.so/Communication-problem-solving-digital-skills-31260bfb014e80039188ef3e68b921bf?pvs=21)",Transferable & Applied Skills,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of programme youth who demonstrate proficiency at or above the programme-defined standard on a structured unfamiliar problem-solving task across four defined criteria at end of school year, disaggregated by gender, age band, vulnerable group status, and site","Measures the proportion of programme youth who demonstrate problem-solving proficiency at or above the programme-defined standard across four criteria on an unfamiliar structured task at end of school year, used as a domain-specific transferable skill indicator for problem-solving.","Communication, problem-solving, digital skills (https://www.notion.so/Communication-problem-solving-digital-skills-31260bfb014e80039188ef3e68b921bf?pvs=21)",Transferable & Applied Skills,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of at-standard integrated task completions in which both digital information use and collaborative problem-solving were genuinely integrated across two defined integration criteria, assessed through structured assessor observation at end of school year","Measures the proportion of at-standard integrated task completions in which both digital information use and collaborative problem-solving were genuinely integrated rather than sequentially divided between individual learners, used as a skill integration quality indicator for applied combined skill use.",Applied and Contextualised Skill Use (https://www.notion.so/Applied-and-Contextualised-Skill-Use-33f60bfb014e81b09053d5d6c79f00c5?pvs=21),Transferable & Applied Skills,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of programme youth who complete a structured integrated task requiring digital information use and collaborative problem-solving at or above the programme-defined performance standard on all three rubric dimensions at end of school year, disaggregated by gender, age band, vulnerable group status, and site","Measures the proportion of programme youth who complete a structured integrated task requiring digital information use and collaborative problem-solving at or above the programme-defined performance standard on all three rubric dimensions, used as an applied skills indicator for integrated task performance.",Applied and Contextualised Skill Use (https://www.notion.so/Applied-and-Contextualised-Skill-Use-33f60bfb014e81b09053d5d6c79f00c5?pvs=21),Transferable & Applied Skills,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of programme youth classified as medium or high contributors by observer and who self-rate as having contributed their fair share during a structured group task, disaggregated by gender, age band, and site","Measures the proportion of programme youth who demonstrate adequate shared responsibility in group work, assessed through observer contribution distribution classification and self-assessment of fair contribution, used as a collaborative culture indicator.",Collaborative and Civic Skills (https://www.notion.so/Collaborative-and-Civic-Skills-33f60bfb014e81049bb4dcab12cb2b19?pvs=21),Transferable & Applied Skills,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of programme youth who report participating in at least one qualifying civic structure or process in the 12 months prior to the survey, verified through naming, disaggregated by gender, age band, and community","Measures the proportion of programme youth who report participating in at least one qualifying civic structure or process in the 12 months prior to the survey, used as a civic skills indicator for civic participation behaviour beyond the programme.",Collaborative and Civic Skills (https://www.notion.so/Collaborative-and-Civic-Skills-33f60bfb014e81049bb4dcab12cb2b19?pvs=21),Transferable & Applied Skills,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of programme youth who provide a qualifying structured reflection across all three prompts of a structured reflection protocol administered after a learning activity, disaggregated by gender, age band, and site","Measures the proportion of programme youth who provide a qualifying structured reflection response across three prompts covering specific learning, facilitating conditions, and future change, used as a metacognitive indicator for learning reflection quality.",Learning to Learn and Self-Regulation (https://www.notion.so/Learning-to-Learn-and-Self-Regulation-33f60bfb014e8129ba25de8bd0e81a0a?pvs=21),Transferable & Applied Skills,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of programme youth who demonstrate learning persistence under difficulty across a qualifying scenario response and school term frequency self-report, in the school term prior to the survey, disaggregated by gender, age band, and site","Measures the proportion of programme youth who demonstrate learning persistence under difficulty across a scenario-based choice item and a frequency self-report item, used as a self-regulation indicator for persistence as a learning disposition.",Learning to Learn and Self-Regulation (https://www.notion.so/Learning-to-Learn-and-Self-Regulation-33f60bfb014e8129ba25de8bd0e81a0a?pvs=21),Transferable & Applied Skills,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of programme youth who report applying at least one specific programme-developed skill outside the programme in the 12 months prior to the survey, verified through naming, situation description, and action description, disaggregated by gender, age band, and skill type","Measures the proportion of programme youth who report applying at least one specific programme-developed skill in an outside-programme context in the 12 months prior to the survey, verified through a three-element description requirement, used as a skill transfer self-report indicator.",Applied and Contextualised Skill Use (https://www.notion.so/Applied-and-Contextualised-Skill-Use-33f60bfb014e81b09053d5d6c79f00c5?pvs=21),Transferable & Applied Skills,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of observed programme youth who made at least two distinct types of qualifying collaborative contribution during a structured group task, assessed through observer tracking in the school term prior to the survey, disaggregated by gender, age band, and site","Measures the proportion of observed programme youth who made at least two distinct types of qualifying collaborative contribution during a structured group task, used as a collaborative skills indicator for breadth and quality of group task contribution.",Collaborative and Civic Skills (https://www.notion.so/Collaborative-and-Civic-Skills-33f60bfb014e81049bb4dcab12cb2b19?pvs=21),Transferable & Applied Skills,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of programme youth who correctly identify a specific applicable programme skill with a plausible explanation for at least two of three out-of-context scenarios, assessed through structured recognition task at end of school year, disaggregated by gender, age band, and site","Measures the proportion of programme youth who correctly identify a specific applicable programme skill and provide a plausible explanation for at least two of three out-of-context scenarios, used as an applied skills indicator for the awareness precondition of skill transfer.",Applied and Contextualised Skill Use (https://www.notion.so/Applied-and-Contextualised-Skill-Use-33f60bfb014e81b09053d5d6c79f00c5?pvs=21),Transferable & Applied Skills,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of programme youth who report regular self-monitoring and consistent strategy adjustment when their learning approach is not working, in the school term prior to the survey, disaggregated by gender, age band, and site","Measures the proportion of programme youth who report regularly noticing when their learning strategy is not working and consistently trying a different approach, used as a metacognitive awareness and adaptive regulation indicator.",Learning to Learn and Self-Regulation (https://www.notion.so/Learning-to-Learn-and-Self-Regulation-33f60bfb014e8129ba25de8bd0e81a0a?pvs=21),Transferable & Applied Skills,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of observed programme youth who demonstrate at least one qualifying constructive disagreement response during a structured group discussion or debate activity, assessed through observer tracking in the school term prior to the survey","Measures the proportion of observed programme youth who demonstrate at least one qualifying constructive disagreement response during a structured group discussion or debate activity, used as a collaborative skills indicator for constructive disagreement and perspective-taking.",Collaborative and Civic Skills (https://www.notion.so/Collaborative-and-Civic-Skills-33f60bfb014e81049bb4dcab12cb2b19?pvs=21),Transferable & Applied Skills,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of programme completers for whom a nominated community contact describes a specific observed skill application and confirms it was useful or made a positive difference, in the 12 months prior to the survey, disaggregated by gender, age band, and community","Measures the proportion of programme completers for whom a nominated community contact describes a specific observed behaviour corresponding to a programme-developed skill and confirms it was useful or made a positive difference, used as an external validation indicator for skill transfer recognition.",Applied and Contextualised Skill Use (https://www.notion.so/Applied-and-Contextualised-Skill-Use-33f60bfb014e81b09053d5d6c79f00c5?pvs=21),Transferable & Applied Skills,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of programme youth who set a qualifying specific learning goal with a named action and success indicator or timeframe, assessed through structured individual task in the school term prior to the survey, disaggregated by gender, age band, and site","Measures the proportion of programme youth who can set at least one specific, realistic, and time-bound learning goal with a named action and success indicator, used as a self-regulation indicator for the foundational planning competency of directed learning.",Learning to Learn and Self-Regulation (https://www.notion.so/Learning-to-Learn-and-Self-Regulation-33f60bfb014e8129ba25de8bd0e81a0a?pvs=21),Transferable & Applied Skills,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
Operational cost coverage ratio — proportion of Learning Centre running costs covered by commercial income in the fiscal year,"The ratio of total commercial income (space rental, tenancy, and bespoke training) to total Learning Centre running costs in the fiscal year, expressed as a percentage, reported quarterly with year-on-year trend.",Revenue (https://www.notion.so/Revenue-34060bfb014e8114a973d4e4d2cc758d?pvs=21),Learning Centre Performance,Draft,Quantitative,Organisation,1: Process,,,"April 12, 2026",,Not Published
"Number of community learning sessions delivered in the reporting year, reported separately for sessions delivered directly by TFFT and by tenant partners","Counts the number of qualifying community learning sessions delivered in the reporting year, reported separately for sessions delivered directly by TFFT and sessions delivered by tenant partner organisations using the Learning Centre space.",Reach (https://www.notion.so/Reach-34060bfb014e81959606e1bc4248e50c?pvs=21),Learning Centre Performance,Draft,Quantitative,Community,1: Process,,,"April 12, 2026",,Not Published
Annual income from bespoke organisational training in the fiscal year,"Total confirmed received income attributable to bespoke organisational training commissions in the fiscal year, reported with year-on-year trend.",Revenue (https://www.notion.so/Revenue-34060bfb014e8114a973d4e4d2cc758d?pvs=21),Learning Centre Performance,Draft,Quantitative,Organisation,1: Process,,,"April 12, 2026",,Not Published
Annual income from space rental and tenancy agreements in the fiscal year,"Total confirmed received income attributable to space rental and tenancy agreements in the fiscal year, reported with year-on-year trend.",Revenue (https://www.notion.so/Revenue-34060bfb014e8114a973d4e4d2cc758d?pvs=21),Learning Centre Performance,Draft,Quantitative,Organisation,1: Process,,,"April 12, 2026",,Not Published
"Number of individual learners accessing free programmes through the Learning Centre in the reporting year, disaggregated by age, gender, and vulnerability status","Counts the number of unique individuals who accessed at least one free learning programme through the Learning Centre in the reporting year, disaggregated by age band, gender, and vulnerability status, reported separately for TFFT-delivered and tenant-delivered reach.",Reach (https://www.notion.so/Reach-34060bfb014e81959606e1bc4248e50c?pvs=21),Learning Centre Performance,Draft,Quantitative,Individual,1: Process,,,"April 12, 2026",,Not Published
"Total reach of the Learning Centre in the reporting year, including learners served by tenant organisations using the space","Aggregates the total number of learners reached through the Learning Centre in the reporting year, combining direct TFFT programme reach and reach generated by tenant organisations using the space.",Reach (https://www.notion.so/Reach-34060bfb014e81959606e1bc4248e50c?pvs=21),Learning Centre Performance,Draft,Quantitative,"Community, Individual",1: Process,,,"April 12, 2026",,Not Published
"Family ripple effect of scholar support — proportion of scholar households in which a caregiver reports a positive change in other household members' educational attitudes, behaviours, or learning participation attributable to the scholar's TFFT experience, in the 12 months prior to the survey","Measures the extent to which a scholar's participation in TFFT programmes positively influences the educational attitudes, behaviours, and aspirations of their immediate family members, assessed through annual caregiver household survey.",Family Ripple Effect (https://www.notion.so/Family-Ripple-Effect-34060bfb014e81b49230f6227569855e?pvs=21),Scholars & Alumni,Draft,"Qualitative, Quantitative",Household,2: Outcome,,,"April 12, 2026",,Not Published
Number of formal policy submissions or community advocacy campaigns led by project youth at national carbon registry hearings or international climate summits.,,Youth-led Advocacy for Carbon (https://www.notion.so/Youth-led-Advocacy-for-Carbon-34060bfb014e818695bff4eaa1d2fcd6?pvs=21),Youth Empowerment,Draft,Quantitative,System,2: Outcome,,,,,Not Published
Proportion of project-enrolled youth with individual mobile money accounts or micro-finance access linked to direct carbon dividend payments.,,Financial Inclusion (https://www.notion.so/Financial-Inclusion-34060bfb014e818fadbdd2204cd49130?pvs=21),Youth Empowerment,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
Proportion of youth participants demonstrating a 'High' competency rating in NbS application and climate-risk assessment through standardized post-training assessment.,,Education & Capacity Building (https://www.notion.so/Education-Capacity-Building-34060bfb014e8186829acdd08388ac09?pvs=21),Youth Empowerment,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Number of youth-led 'spin-off' businesses funded or supported by carbon revenue (e.g., seedling nurseries, sustainable honey, or eco-tourism).",,Youth-led Entrepreneurship (https://www.notion.so/Youth-led-Entrepreneurship-34060bfb014e8152a708fd1e5e4ad73d?pvs=21),Youth Empowerment,Draft,Quantitative,Community,2: Outcome,,,,,Not Published
Proportion of youth participants attaining certifications in nature-based solutions through project activities.,,Green Skills & Knowledge Transfer (https://www.notion.so/Green-Skills-Knowledge-Transfer-34060bfb014e81aeadb8d86dc44b8401?pvs=21),Youth Empowerment,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Number of youth representatives formally involved in the end-to-end Project Cycle (specifically in planning, monitoring, and reporting phases).",,Project Governance (https://www.notion.so/Project-Governance-34060bfb014e81b8aab7fb09afd1cb34?pvs=21),Youth Empowerment,Draft,Quantitative,Organisation,2: Outcome,,,,,Not Published
